code|postal_code|name|phone_code|iso2|comunidad
VI|1|Álava|945|ES|Euskadi
AB|2|Albacete|967|ES|Castilla La Mancha
A|3|Alacant|950|ES|Comunidad Valenciana
AL|4|Almería|920|ES|Andalucía
AV|5|Ávila|924|ES|Castilla y León
BA|6|Badajoz|924|ES|Extremadura
PM|7|Illes Balears|971|ES|Baleares
B|8|Barcelona|93|ES|Cataluña
BU|9|Burgos|947|ES|Castilla y León
CC|10|Cáceres|927|ES|Extremadura
CA|11|Cádiz|956|ES|Andalucía
CS|12|Castelló|964|ES|Comunidad Valenciana
CR|13|Ciudad Real|926|ES|Castilla La Mancha
CO|14|Córdoba|957|ES|Andalucía
C|15|A Coruña|981|ES|Galicia
CU|16|Cuenca|969|ES|Castilla La Mancha
GI|17|Girona|972|ES|Cataluña
GR|18|Granada|958|ES|Andalucía
GU|19|Guadalajara|949|ES|Castilla La Mancha
SS|20|Gipuzkoa|943|ES|Euskadi
H|21|Huelva|959|ES|Andalucía
HU|22|Huesca|974|ES|Aragón
J|23|Jaén|953|ES|Andalucía
LE|24|León|987|ES|Castilla y León
L|25|Lleida|973|ES|Cataluña
LO|26|La Rioja|941|ES|La Rioja
LU|27|Lugo|982|ES|Galicia
M|28|Madrid|91|ES|Comunidad de Madrid
MA|29|Málaga|95|ES|Andalucía
MU|30|Murcia|968|ES|Región de Murcia
NA|31|Navarra|948|ES|Navarra
OR|32|Ourense|988|ES|Galicia
O|33|Asturias|98|ES|Principado de Asturias
P|34|Palencia|979|ES|Castilla y León
GC|35|Las Palmas|928|ES|Canarias
PO|36|Pontevedra|986|ES|Galicia
SA|37|Salamanca|923|ES|Castilla y León
TF|38|Sta. Cruz de Tenerife|922|ES|Canarias
S|39|Cantabria|942|ES|Cantabria
SG|40|Segovia|921|ES|Castilla y León
SE|41|Sevilla|95|ES|Andalucía
SO|42|Soria|975|ES|Castilla y León
T|43|Tarragona|977|ES|Cataluña
TE|44|Teruel|978|ES|Aragón
TO|45|Toledo|925|ES|Castilla La Mancha
V|46|Valencia|96|ES|Comunidad Valenciana
VA|47|Valladolid|983|ES|Castilla y León
BI|48|Bizkaia|94|ES|Euskadi
ZA|49|Zamora|980|ES|Castilla y León
Z|50|Zaragoza|976|ES|Aragón
CE|51|Ceuta|956|ES|Ceuta
ML|52|Melilla|95|ES|Melilla
