Municipio; Número de votos; Porcentaje
Agaete ;1 ;0,03 
Agüimes ;18 ;0,10 
Antigua ;10 ;0,28 
Arrecife ;31 ;0,13 
Artenara ;1 ;0,14 
Arucas ;28 ;0,12 
Betancuria ;0 ;0 
Firgas ;4 ;0,08 
Gáldar ;12 ;0,08 
Haría ;5 ;0,19 
Ingenio ;29 ;0,17 
La Aldea de San Nicolás ;0 ;0 
La Oliva ;17 ;0,24 
Las Palmas de Gran Canaria ;215 ;0,11 
Mogán ;4 ;0,06 
Moya ;5 ;0,10 
Pájara ;5 ;0,08 
Puerto del Rosario ;34 ;0,19 
San Bartolomé ;17 ;0,19 
San Bartolomé de Tirajana ;22 ;0,11 
Santa Brígida ;9 ;0,08 
Santa Lucía de Tirajana ;42 ;0,12 
Santa María de Guía de Gran Canaria ;1 ;0,01 
Teguise ;12 ;0,12 
Tejeda ;3 ;0,25 
Telde ;63 ;0,11 
Teror ;3 ;0,03 
Tías ;5 ;0,07 
Tinajo ;4 ;0,13 
Tuineje ;5 ;0,08 
Valleseco ;2 ;0,08 
Valsequillo de Gran Canaria ;5 ;0,09 
Vega de San Mateo ;7 ;0,15 
Yaiza ;12 ;0,26 
